codigo_uf,uf,ano,cobertura,vacina
50,Mato Grosso do Sul,2015,70.74,Tríplice viral
51,Mato Grosso,2015,76.73,Tríplice viral
52,Goiás,2015,63.24,Tríplice viral
53,Distrito Federal,2015,66.33,Tríplice viral
11,Rondônia,2016,94.97,Tríplice viral
12,Acre,2016,64.45,Tríplice viral
13,Amazonas,2016,75.8,Tríplice viral
14,Roraima,2016,83.64,Tríplice viral
15,Pará,2016,62.39,Tríplice viral
16,Amapá,2016,86.08,Tríplice viral
17,Tocantins,2016,88.32,Tríplice viral
21,Maranhão,2016,51.68,Tríplice viral
22,Piauí,2016,65.66,Tríplice viral
23,Ceará,2016,91.06,Tríplice viral
24,Rio Grande do Norte,2016,54.28,Tríplice viral
25,Paraíba,2016,61.22,Tríplice viral
26,Pernambuco,2016,70.12,Tríplice viral
27,Alagoas,2016,63.96,Tríplice viral
28,Sergipe,2016,75.19,Tríplice viral
29,Bahia,2016,59.46,Tríplice viral
31,Minas Gerais,2016,91.82,Tríplice viral
32,Espírito Santo,2016,81.52,Tríplice viral
33,Rio de Janeiro,2016,73.79,Tríplice viral
